CODIGO;NOMBRE;CAT. 2018-2;CAT. 2019-1;DEPARTAMENTO;PROVINCIA;DISTRITO;NUEVA REFERENCIA;REFERENCIA;DIRECIÓN;TS;MS;BI
0;AA COLEGIOS ESTATALES;4;T;;;;//;SIN REGISTRO;SIN REGISTRO;;;
1;ABELARDO GAMARRA;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;CERCADO;;;
2;ALBERT EINSTEIN;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;CERCADO;;;
3;ALBERTO BARTON;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;CERCADO;;;
4;ALEJANDRO DEUSTUA;4;T;LIMA;LIMA;LURIGANCHO;LIMA/LIMA/LURIGANCHO;MAGDALENA;JR. TACNA  360 - MAGDALENA;;;
5;JOSE ANDRES RAZURI;4;T;LIMA;LIMA;BARRANCO;LIMA/LIMA/BARRANCO;BARRANCO;BALTA 213 BARRANCO;;;
6;ANGLO AMERICANO PRESCOTT;4;T;AREQUIPA;AREQUIPA;AREQUIPA;AREQUIPA/AREQUIPA/AREQUIPA;AREQUIPA;AV.ALFONSO UGARTE 565 TINGO;x;x;x
7;ANGLO AMERICANO PRESCOTT;4;T;LIMA;LIMA;;LIMA/LIMA/;LIMA;LIMA;;;
8;ASUNCION DE MARIA;4;T;LA LIBERTAD;;;LA LIBERTAD//;LA LIBERTAD - TRUJILLO;TRUJILLO;;;
9;APOSTOL SAN JUDAS TADEO;4;T;LIMA;HUARAL;CHANCAY;LIMA/HUARAL/CHANCAY;CHANCAY;CHANCAY;;;
10;AMERICO GARIBALDI GHERSI;4;T;MOQUEGUA;;;MOQUEGUA//;MOQUEGUA;CIUDAD NUEVA - PACOCHA ILO;;;
11;ABRAHAM LINCOLN;3;S;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;JOSE ANTONIO 475 URB. PARQUE DE MONTERRICO;x;x;x
12;ABRAHAM LINCOLN;4;T;CALLAO;CALLAO;LA PUNTA;CALLAO/CALLAO/LA PUNTA;CALLAO - LA PUNTA;CALLAO;;;
13;ADVENTISTA DE MIRAFLORES / MIRAFLORES;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;COMANDANTE ESPINAR 750 MIRAFLORES;x;;
14;ADVENTISTA DEL TITICACA;4;T;PUNO;;;PUNO//;PUNO;PUNO;;;
15;AGUSTINIANO SAN MARTIN DE PORRES;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;PUEBLO LIBRE;AV.VIVANCO 911 PUEBLO LIBRE;x;;
16;ALEXANDER VON HUMBOLDT;2;R;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;AV. A. BENAVIDES 3081 MIRAFLORES;x;x;x
17;ALIPIO PONCE G.C. SUB-OFIC;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA;AV.SEBASTIAN LORENTE 769  CERCADO;;;
18;ALFONSO UGARTE;4;T;LIMA;LIMA;EL AGUSTINO;LIMA/LIMA/EL AGUSTINO;FICUS - SANTA ANITA;JR. LOS PINOS 514 FICUS;;;
19;ALFREDO SALAZAR SOUTHWALL;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;AV. AREQUIPA 5060 - MIRAFLORES;;;
20;ALMIRANTE GUISSE;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;LINCE;;;
21;AMERICA DEL CALLAO;4;T;CALLAO;CALLAO;BELLAVISTA;CALLAO/CALLAO/BELLAVISTA;CALLAO - BELLAVISTA;NICOLAS DE PIEROLA 250 - CALLAO;x;;
