number;name;remote_id;source;image;;;;
0;AA COLEGIOS ESTATALES;4;T;;;;;
1;ABELARDO GAMARRA;4;T;LIMA;;;;
2;ALBERT EINSTEIN;4;T;LIMA;;;;
3;ALBERTO BARTON;4;T;LIMA;;;;
4;ALEJANDRO DEUSTUA;4;T;LIMA;;;;
5;JOSE ANDRES RAZURI;4;T;LIMA;;;;
6;ANGLO AMERICANO PRESCOTT;4;T;AREQUIPA;;;;
7;ANGLO AMERICANO PRESCOTT;4;T;LIMA;;;;
8;ASUNCION DE MARIA;4;T;LA LIBERTAD;;;;
9;APOSTOL SAN JUDAS TADEO;4;T;LIMA;;;;
10;AMERICO GARIBALDI GHERSI;4;T;MOQUEGUA;;;;
11;ABRAHAM LINCOLN;3;S;LIMA;;;;
12;ABRAHAM LINCOLN;4;T;CALLAO;;;;
13;ADVENTISTA DE MIRAFLORES / MIRAFLORES;4;T;LIMA;;;;
14;ADVENTISTA DEL TITICACA;4;T;PUNO;;;;
15;AGUSTINIANO SAN MARTIN DE PORRES;4;T;LIMA;;;;
16;ALEXANDER VON HUMBOLDT;2;R;LIMA;;;;
17;ALIPIO PONCE G.C. SUB-OFIC;4;T;LIMA;;;;
18;ALFONSO UGARTE;4;T;LIMA;;;;
19;ALFREDO SALAZAR SOUTHWALL;4;T;LIMA;;;;
20;ALMIRANTE GUISSE;4;T;LIMA;;;;
21;AMERICA DEL CALLAO;4;T;CALLAO;;;;
22;AMERICANO DE LIMA;4;T;LIMA;;;;
23;AMERICANO DE MIRAFLORES;4;T;LIMA;;;;
24;ANDINO;4;T;JUNIN;;;;
25;ANEXO INST. PEDAGOGICO NACIONAL;4;T;LIMA;;;;
26;CIENCIAS;4;T;HUANUCO;;;;
27;ANTONIO RAIMONDI;2;Q;LIMA;;;;
28;ANTONIO RAIMONDI;4;T;ANCASH;;;;
29;APLICACION SAN MARCOS;4;T;LIMA;;;;
30;APOSTOLICO DE LOS PADRES OBLATOS;4;T;LIMA;;;;
32;BARTOLOME HERRERA;4;T;LIMA;;;;
33;BEATA IMELDA;4;T;LIMA;;;;
34;BEATA IMELDA;4;S;LAMBAYEQUE;;;;
35;BENJAMIN FRANKLIN;4;T;LIMA;;;;
36;BOZZANO;4;T;CALLAO;;;;
37;CIENCIAS;4;T;LIMA;;;;
38;CENTRO SOCIAL DE SEÑORAS;4;T;LIMA;;;;
39;CARLOS CUETO FERNANDINI;4;T;LIMA;;;;
40;CARLOS LISSON BEINGOLEA;4;T;LIMA;;;;
41;CENTRO DE ESTUDIOS DEL EJERCITO;4;T;AREQUIPA;;;;
42;BRUNING;3;S;LIMA;;;;
43;CARDENAL CUSHING;4;T;LIMA;;;;
44;CLARETIANO;4;T;LIMA;;;;
45;CLARETIANO;4;T;LA LIBERTAD;;;;
46;NUESTRA SEÑORA VIRGEN DE LA ASUNCION;4;T;CALLAO;;;;
47;CONCORDIA UNIVERSAL;4;T;CALLAO;;;;
48;CORAZON DE MARIA;4;T;LIMA;;;;
49;CRISTO DE LAS LAGRIMAS;4;T;LIMA;;;;
50;CRISTO REDENTOR;4;T;LIMA;;;;
51;CRISTO REY;4;T;LIMA;;;;
52;CRISTO REY;4;T;TACNA;;;;
54;CRISTO SALVADOR;4;T;LIMA;;;;
55;INGENIERIA;4;T;JUNIN;;;;
56;CORAZON DE JESUS;4;T;LIMA;;;;
57;CRISTOBAL COLON;4;T;LIMA;;;;
58;CORAZON DE JESUS;4;T;LIMA;;;;
59;DE LA CRUZ - LIMA;4;T;LIMA;;;;
60;RICARDO PALMA;4;T;LIMA;;;;
61;CRISTOBAL DE LOZADA Y PUGA;4;T;LIMA;;;;
62;NUESTRA SEÑORA DE LA LUZ;4;T;LIMA;;;;
63;COOP. SECUNDARIO MIXTO;4;T;ICA;;;;
65;CULTURA MODERNA;4;T;LIMA;;;;
66;JUAN PABLO PEREGRINO;4;T;LIMA;;;;
67;CHAMPAGNAT;4;T;LAMBAYEQUE;;;;
68;DALTON;4;T;LIMA;;;;
69;DE JESUS;4;T;LIMA;;;;
70;DE MARIA;4;T;LIMA;;;;
71;DESAMPARADOS;4;T;LIMA;;;;
72;SAN PABLO;4;T;LIMA;;;;
73;DIEZ DE OCTUBRE;4;T;LIMA;;;;
74;DIVINO CORAZON DE JESUS;4;T;LIMA;;;;
75;SANTA HILDEGARDA;4;T;LIMA;;;;
76;DIVINO MAESTRO;4;T;LIMA;;;;
77;SANTA CRUZ;4;T;LIMA;;;;
78;DON BOSCO SALESIANO;4;T;AREQUIPA;;;;
79;DOMINGO NIETO;4;T;LIMA;;;;
80;SALESIANO DON BOSCO;4;T;CALLAO;;;;
81;SALESIANO DON BOSCO;4;T;PIURA;;;;
82;ENRIQUE LOPEZ ALBUJAR;4;T;PIURA;;;;
83;EL CARMELO;4;T;LIMA;;;;
84;ELIAS AGUIRRE;4;T;LAMBAYEQUE;;;;
85;ELIAS AGUIRRE;4;T;LIMA;;;;
86;EMILIO SOYER CLAVER (SUB.OF.);4;T;LIMA;;;;
87;ESPIRITU SANTO;4;T;LIMA;;;;
88;EL NAZARENO;4;T;LIMA;;;;
89;EL CARMEN;4;T;LIMA;;;;
90;EXTERNADO SANTO TORIBIO;4;T;LIMA;;;;
91;ERNESTO GARCIA CALDERON;4;T;LIMA;;;;
92;FAUSTINO SANCHEZ CARRION;4;T;LIMA;;;;
93;FEDERICO VILLARREAL;4;T;PIURA;;;;
94;FELIPE SANTIAGO SALAVERRY;4;T;LIMA;;;;
95;FERMIN TANGUIS;4;T;LIMA;;;;
96;FERMIN MALAGA PRADO;4;T;LIMA;;;;
97;FLORA TRISTAN;4;T;LIMA;;;;
98;FLORENCE NIGHTINGALE;4;T;LIMA;;;;
99;FRANCO PERUANO;2;R;LIMA;;;;
100;RAZURI;4;T;LIMA;;;;
101;FRAY LUIS DE GRANADA;4;T;LIMA;;;;
102;FRAY LUIS DE LEON;4;T;LIMA;;;;
103;FRANKLIN ROOSEVELT;4;T;LIMA;;;;
104;FRANCISCO BOLOGNESI;4;T;AREQUIPA;;;;
105;CETPRO BENJAMIN GALECIO MATOS GAMOR;4;T;LIMA;;;;
106;UNIVERSIDAD INCA GARCILASO DE LA VEGA;4;T;LIMA;;;;
107;DE JESUS;4;T;LIMA;;;;
108;GIMNASIO PERUANO;4;T;LIMA;;;;
109;GABRIELA MISTRAL;4;T;LIMA;;;;
110;GERTRUDE HANKS;4;T;LIMA;;;;
111;GELICICH;4;T;JUNIN;;;;
112;HANS CHRISTIAN ANDERSEN;4;T;LIMA;;;;
113;HOSANNA;4;T;LIMA;;;;
114;HERMANOS BLANCO;4;T;LA LIBERTAD;;;;
